path,top_component,kind_hint,lines,bytes,review_status,domain,pass_component_audit,pass_behavior_trace,pass_discovery,pass_adversarial_verify,finding_count,last_reviewed_upstream_commit,notes,primary_domain,secondary_domains,classification_confidence,review_treatment
CODE_OF_CONDUCT.md,[root],documentation,1,28,UNREVIEWED,D00,NO,NO,NO,NO,0,,,D00,,HIGH,DOC_CONTEXT_VERIFY_AGAINST_CODE
LICENSE,[root],other,201,11357,UNREVIEWED,D00,NO,NO,NO,NO,0,,,D00,,HIGH,FULL_SOURCE_REVIEW
README.md,[root],documentation,482,45489,UNREVIEWED,D00,NO,NO,NO,NO,0,,,D00,,HIGH,DOC_CONTEXT_VERIFY_AGAINST_CODE
abuse-enforcement-service/server/src/main.rs,abuse-enforcement-service,source,104,3536,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/rules/enforcement_post.yaml,abuse-enforcement-service,config_or_build,82,2132,UNREVIEWED,D13;D17;D16,NO,NO,NO,NO,0,,,D13,D17;D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/rules/enforcement_user.yaml,abuse-enforcement-service,config_or_build,210,6384,UNREVIEWED,D13;D17;D16,NO,NO,NO,NO,0,,,D13,D17;D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/ais_client.rs,abuse-enforcement-service,source,595,18452,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/allowlist.rs,abuse-enforcement-service,source,172,5273,UNREVIEWED,D13;D17;D16,NO,NO,NO,NO,0,,,D13,D17;D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/api_doc.rs,abuse-enforcement-service,source,212,8391,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/auth.rs,abuse-enforcement-service,source,227,6979,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/bin/validate_rules_yaml.rs,abuse-enforcement-service,source,33,969,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/config.rs,abuse-enforcement-service,source,336,10097,UNREVIEWED,D13;D17;D16,NO,NO,NO,NO,0,,,D13,D17;D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/decision.rs,abuse-enforcement-service,source,38,947,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/dedup_cache.rs,abuse-enforcement-service,source,791,26180,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/entities.rs,abuse-enforcement-service,source,62,1885,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/facts.rs,abuse-enforcement-service,source,1008,35914,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/fixtures/mock_rules_post.yaml,abuse-enforcement-service,config_or_build,14,484,UNREVIEWED,D13;D16;D17,NO,NO,NO,NO,0,,,D13,D16;D17,HIGH,FIXTURE_EVIDENCE
abuse-enforcement-service/service-lib/src/fixtures/mock_rules_user.yaml,abuse-enforcement-service,config_or_build,24,828,UNREVIEWED,D13;D16;D17,NO,NO,NO,NO,0,,,D13,D16;D17,HIGH,FIXTURE_EVIDENCE
abuse-enforcement-service/service-lib/src/gizmoduck.rs,abuse-enforcement-service,source,175,6302,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/gizmoduck_labels.rs,abuse-enforcement-service,source,6,177,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/growthbook.rs,abuse-enforcement-service,source,473,15543,UNREVIEWED,D13;D17;D16,NO,NO,NO,NO,0,,,D13,D17;D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/growthbook_writer.rs,abuse-enforcement-service,source,257,8466,UNREVIEWED,D13;D17;D16,NO,NO,NO,NO,0,,,D13,D17;D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/lib.rs,abuse-enforcement-service,source,1955,67593,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/limiter.rs,abuse-enforcement-service,source,145,4517,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/manhattan.rs,abuse-enforcement-service,source,103,3072,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/metrics.rs,abuse-enforcement-service,source,445,16186,UNREVIEWED,D13;D16;D18,NO,NO,NO,NO,0,,,D13,D16;D18,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/rules.rs,abuse-enforcement-service,source,1202,38647,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/service.rs,abuse-enforcement-service,source,2598,88259,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/sliding_window.rs,abuse-enforcement-service,source,672,21267,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
abuse-enforcement-service/service-lib/src/strato.rs,abuse-enforcement-service,source,283,8813,UNREVIEWED,D13;D16,NO,NO,NO,NO,0,,,D13,D16,HIGH,FULL_SOURCE_REVIEW
