path,top_component,specialist_passes,primary_specialist,review_treatment,all_domains
CODE_OF_CONDUCT.md,[root],S00,S00,DOC_CONTEXT_VERIFY_AGAINST_CODE,D00
LICENSE,[root],S00,S00,FULL_SOURCE_REVIEW,D00
README.md,[root],S00,S00,DOC_CONTEXT_VERIFY_AGAINST_CODE,D00
abuse-enforcement-service/server/src/main.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/rules/enforcement_post.yaml,abuse-enforcement-service,S15;S17,S15,FULL_SOURCE_REVIEW,D13;D17;D16
abuse-enforcement-service/service-lib/rules/enforcement_user.yaml,abuse-enforcement-service,S15;S17,S15,FULL_SOURCE_REVIEW,D13;D17;D16
abuse-enforcement-service/service-lib/src/ais_client.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/allowlist.rs,abuse-enforcement-service,S15;S17,S15,FULL_SOURCE_REVIEW,D13;D17;D16
abuse-enforcement-service/service-lib/src/api_doc.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/auth.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/bin/validate_rules_yaml.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/config.rs,abuse-enforcement-service,S15;S17,S15,FULL_SOURCE_REVIEW,D13;D17;D16
abuse-enforcement-service/service-lib/src/decision.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/dedup_cache.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/entities.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/facts.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/fixtures/mock_rules_post.yaml,abuse-enforcement-service,S15;S17,S15,FIXTURE_EVIDENCE,D13;D16;D17
abuse-enforcement-service/service-lib/src/fixtures/mock_rules_user.yaml,abuse-enforcement-service,S15;S17,S15,FIXTURE_EVIDENCE,D13;D16;D17
abuse-enforcement-service/service-lib/src/gizmoduck.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/gizmoduck_labels.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/growthbook.rs,abuse-enforcement-service,S15;S17,S15,FULL_SOURCE_REVIEW,D13;D17;D16
abuse-enforcement-service/service-lib/src/growthbook_writer.rs,abuse-enforcement-service,S15;S17,S15,FULL_SOURCE_REVIEW,D13;D17;D16
abuse-enforcement-service/service-lib/src/lib.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/limiter.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/manhattan.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/metrics.rs,abuse-enforcement-service,S15;S18,S15,FULL_SOURCE_REVIEW,D13;D16;D18
abuse-enforcement-service/service-lib/src/rules.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/service.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/sliding_window.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/strato.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
abuse-enforcement-service/service-lib/src/test_user.rs,abuse-enforcement-service,S15,S15,TEST_EVIDENCE,D13;D16
abuse-enforcement-service/types/src/allowlist.rs,abuse-enforcement-service,S15;S17,S15,FULL_SOURCE_REVIEW,D13;D17;D16
abuse-enforcement-service/types/src/config.rs,abuse-enforcement-service,S15;S17,S15,FULL_SOURCE_REVIEW,D13;D17;D16
abuse-enforcement-service/types/src/lib.rs,abuse-enforcement-service,S15,S15,FULL_SOURCE_REVIEW,D13;D16
adult-content/BUILD,adult-content,S10;S18,S10,REPRO_BUILD_REVIEW,D09;D19
adult-content/calibration.py,adult-content,S10,S10,FULL_SOURCE_REVIEW,D09;D15
adult-content/config.py,adult-content,S10;S17,S10,FULL_SOURCE_REVIEW,D09;D17
adult-content/dataset_utils.py,adult-content,S10,S10,FULL_SOURCE_REVIEW,D09;D15
adult-content/scripts/BUILD,adult-content,S10;S18,S10,REPRO_BUILD_REVIEW,D09;D19
adult-content/scripts/calibrate_model_scores.py,adult-content,S10,S10,FULL_SOURCE_REVIEW,D09;D15
adult-content/scripts/train_model.py,adult-content,S10,S10,FULL_SOURCE_REVIEW,D09;D15
adult-content/training.py,adult-content,S10,S10,FULL_SOURCE_REVIEW,D09;D15
agatha/hub/agatha/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/agatha/Bijections.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/builder/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/agatha/builder/Builder.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/job/AgathaJobTemplates.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/job/BUILD.bazel,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/agatha/labels/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/agatha/labels/LabelGenerator.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/labels/LabelManager.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/predict/Aggregators.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/predict/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/agatha/predict/Predict.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/predict/package.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/thrift/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/agatha/thrift/agatha.thrift,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/thrift/featureSource.thrift,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/agatha/util/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/agatha/util/CrossedPMIStatToModelledFeature.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D15;D16
agatha/hub/pmi/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/pmi/ModelCommon.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D15;D16
agatha/hub/pmi/PMI.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/pmi/PMISetExtractors.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/pmi/PMITypes.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/pmi/PreProcessors.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/pmi/examples/BUILD.bazel,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/pmi/examples/TopFollowPmi.scala,agatha,S11;S18,S11,EXAMPLE_REFERENCE_REVIEW,D10;D16;D19
agatha/hub/pmi/math/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/pmi/math/Math.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/pmi/math/aggregators/BUILD,agatha,S11;S18,S11,REPRO_BUILD_REVIEW,D10;D16;D19
agatha/hub/pmi/math/aggregators/Moments.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/hub/pmi/math/aggregators/Percentiles.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/scalding/AgathaFeaturesPredictJob.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/scalding/NSFWBuildJob.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/scalding/RateBasedBuildJob.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
agatha/scalding/SpagathaBuildJob.scala,agatha,S11,S11,FULL_SOURCE_REVIEW,D10;D16
